repo_name,repo_url,stars,contributors,commits,update_date,forks
Qwerkey,https://github.com/Lazytangent/Qwerkey,22,5,904,2023-06-22 20:19:24,0
Things-Organizer,https://github.com/yeyeto2788/Things-Organizer,12,2,129,2023-10-01 07:04:43,1
Module-6-Resources,https://github.com/appacademy/Module-6-Resources,56,4,330,2023-08-12 18:20:06,39
meowcat2,https://github.com/cabalamat/meowcat2,10,0,171,2023-04-24 17:11:23,3
Sciebo-RDS,https://github.com/Sciebo-RDS/Sciebo-RDS,13,11,1873,2023-11-21 08:40:26,5
Cat-vs.-Dog-Classifier,https://github.com/LukaszMalucha/Cat-vs.-Dog-Classifier,29,0,54,2023-12-11 21:59:24,11
PowerDNS-Admin,https://github.com/PowerDNS-Admin/PowerDNS-Admin,2214,127,1645,2023-12-24 06:52:13,625
web-tools,https://github.com/mediacloud/web-tools,64,12,6806,2023-12-14 15:43:33,31
parking_bays_detectron2,https://github.com/neelriyer/parking_bays_detectron2,12,0,11,2023-10-11 04:51:31,2
Bmaps-Backend,https://github.com/ucladevx/Bmaps-Backend,6,13,1336,2020-06-04 18:32:30,2
0xGame2020,https://github.com/X1cT34m/0xGame2020,14,2,38,2023-09-26 05:10:40,4
voting,https://github.com/ephremdeme/voting,11,4,105,2023-06-05 12:35:12,4
40Love,https://github.com/tanner-schmutte/40Love,27,0,205,2022-06-08 01:21:12,1
sonar,https://github.com/rero/sonar,12,8,472,2023-02-23 13:24:38,11
AIL-framework,https://github.com/CIRCL/AIL-framework,1261,50,2485,2023-12-21 05:20:56,293
invenio-app-rdm,https://github.com/inveniosoftware/invenio-app-rdm,86,39,1702,2023-12-16 22:15:52,118
Medical-Blockchain,https://github.com/joachimdorel/Medical-Blockchain,9,0,18,2023-12-06 18:32:43,5
bbs-admin-backend,https://github.com/weijiang1994/bbs-admin-backend,9,0,81,2023-12-15 13:38:53,4
bank-transaction-tracker,https://github.com/galojix/bank-transaction-tracker,29,0,344,2023-10-04 11:56:47,7
thanados,https://github.com/stefaneichert/thanados,16,5,632,2023-11-25 07:58:57,4
NeXa,https://github.com/ugberaeseac/NeXa,10,2,67,2023-12-24 11:41:24,0
mfg,https://github.com/filippolauria/mfg,10,2,25,2023-09-12 15:01:13,2
artifacts,https://github.com/dchen284/artifacts,16,4,248,2023-03-30 19:16:41,1
infilcheck,https://github.com/jonnykry/infilcheck,6,3,317,2023-08-31 17:05:34,3
listenbrainz-server,https://github.com/metabrainz/listenbrainz-server,599,92,10613,2023-12-22 12:35:28,185
gobo,https://github.com/mitmedialab/gobo,101,4,793,2023-11-07 12:45:52,18
frameos,https://github.com/FrameOS/frameos,13,3,708,2023-12-18 11:40:45,1
walle-web,https://github.com/meolu/walle-web,11727,44,1206,2023-12-22 07:13:12,2768
nba-betting-simulator,https://github.com/nilfm/nba-betting-simulator,10,2,310,2022-09-07 09:43:47,1
growth-too-marshal,https://github.com/growth-astro/growth-too-marshal,13,9,380,2023-12-02 16:31:39,12
sapspa,https://github.com/redbearder/sapspa,60,0,116,2023-07-25 07:11:05,9
Haldis,https://github.com/ZeusWPI/Haldis,12,32,724,2023-04-21 07:34:26,15
ribbit,https://github.com/Risclover/ribbit,6,0,216,2023-08-22 03:45:08,1
HeadUP,https://github.com/tabaresjc/HeadUP,6,3,614,2023-03-05 03:24:15,2
quizicist,https://github.com/cognitive-engineering-lab/quizicist,15,2,179,2023-10-02 20:54:41,5
url_shortner,https://github.com/Unique-Red/url_shortner,6,0,87,2023-12-20 15:44:38,3
Shaghalni,https://github.com/OmarElsakka1/Shaghalni,15,2,91,2023-11-07 10:53:08,5
arxivtagpy,https://github.com/suvorov21/arxivtagpy,5,0,778,2023-10-10 14:32:42,0
invenio-files-rest,https://github.com/inveniosoftware/invenio-files-rest,8,41,304,2022-02-02 05:57:38,64
biojupies,https://github.com/MaayanLab/biojupies,105,4,594,2023-11-10 11:28:29,28
reana-server,https://github.com/reanahub/reana-server,5,16,598,2022-11-22 16:43:10,30
prismo,https://github.com/hacklabkyiv/prismo,9,4,104,2023-12-22 09:22:11,0
coworks,https://github.com/gdoumenc/coworks,16,5,1182,2023-12-11 06:13:38,3
ponzischeme_webapp,https://github.com/peter-de-boer/ponzischeme_webapp,5,0,243,2023-05-06 16:36:48,1
Teselium,https://github.com/seldish-og/Teselium,5,0,331,2023-09-25 10:40:02,0
Kanji_Karma,https://github.com/CasuallyCaffeinated/Kanji_Karma,13,0,142,2023-06-14 11:40:01,0
ProjetoGSW,https://github.com/Time-1-ADS/ProjetoGSW,6,6,352,2023-03-21 23:05:06,6
UI,https://github.com/FreeTAKTeam/UI,23,9,167,2023-12-22 17:49:36,24
wlnupdates,https://github.com/fake-name/wlnupdates,30,3,1081,2023-09-08 16:56:25,6
fab,https://github.com/tencentmusic/fab,44,2,11,2023-11-21 05:16:50,13
converter,https://github.com/infantiablue/converter,41,2,123,2023-06-05 06:42:29,10
Lurnby,https://github.com/Roznoshchik/Lurnby,673,3,696,2023-12-20 03:51:52,17
ckan,https://github.com/ckan/ckan,4122,282,25535,2023-12-23 17:12:03,1962
SEAL,https://github.com/mobidic/SEAL,8,0,598,2023-11-28 14:05:51,1
GoodMorningTech,https://github.com/GoodMorninTech/GoodMorningTech,17,10,1051,2023-11-10 12:16:16,6
onyx_v1,https://github.com/OnyxAI/onyx_v1,5,0,175,2022-08-18 08:22:17,1
invenio-github,https://github.com/inveniosoftware/invenio-github,6,19,267,2022-05-04 15:21:52,24
radiant,https://github.com/trnle/radiant,8,0,171,2023-10-26 15:44:26,4
ail-framework,https://github.com/ail-project/ail-framework,437,50,2490,2023-12-22 09:50:53,75
CollegeEventPortal,https://github.com/kentshine/CollegeEventPortal,5,2,181,2023-11-07 14:09:49,0
timesketch,https://github.com/google/timesketch,2418,106,3176,2023-12-21 22:06:51,560
Steam-Recommendation-System,https://github.com/TianyaoHan/Steam-Recommendation-System,5,0,10,2023-11-15 15:45:28,1
FudgeC2,https://github.com/Ziconius/FudgeC2,242,2,193,2023-12-11 00:48:37,55
