repo_name,repo_url,stars,contributors,commits,update_date,forks
CuteOne,https://github.com/Hackxiaoya/CuteOne,844,0,149,2023-12-10 05:46:33,212
realms-wiki,https://github.com/scragg0x/realms-wiki,835,22,480,2023-12-10 02:18:50,97
H,https://github.com/SiJiDo/H,824,0,62,2023-12-11 06:17:16,174
fame,https://github.com/certsocietegenerale/fame,817,19,269,2023-12-20 17:02:37,184
skf-flask,https://github.com/blabla1337/skf-flask,804,55,3279,2023-12-18 16:43:00,313
eNMS,https://github.com/eNMS-automation/eNMS,785,21,15416,2023-12-19 20:15:50,152
knowledge,https://github.com/coco369/knowledge,769,2,467,2023-12-24 03:43:52,245
open-source-saas-boilerpate,https://github.com/saasforge/open-source-saas-boilerpate,762,2,114,2023-12-22 10:23:46,110
dagobah,https://github.com/thieman/dagobah,750,7,312,2023-12-03 22:25:48,161
pybossa,https://github.com/Scifabric/pybossa,732,30,8835,2023-12-21 20:52:09,276
Flask-Blogging,https://github.com/gouthambs/Flask-Blogging,681,16,383,2023-12-24 07:34:24,159
Lurnby,https://github.com/Roznoshchik/Lurnby,673,3,696,2023-12-20 03:51:52,17
chaos_genius,https://github.com/chaos-genius/chaos_genius,663,29,3304,2023-12-21 20:50:55,80
Oryx,https://github.com/microsoft/Oryx,649,42,1613,2023-12-23 16:28:56,156
feedi,https://github.com/facundoolano/feedi,640,2,380,2023-12-24 12:34:42,15
doorman,https://github.com/mwielgoszewski/doorman,612,15,473,2023-12-20 03:14:40,95
listenbrainz-server,https://github.com/metabrainz/listenbrainz-server,599,89,10310,2023-12-22 12:35:28,185
natlas,https://github.com/natlas/natlas,596,14,1021,2023-12-13 18:44:49,87
awd-platform,https://github.com/zhl2008/awd-platform,580,0,31,2023-12-17 11:22:27,198
flask-security,https://github.com/Flask-Middleware/flask-security,573,145,1346,2023-12-24 04:24:27,143
flask-gentelella,https://github.com/afourmy/flask-gentelella,567,0,171,2023-12-23 11:44:46,193
funboost,https://github.com/ydf0509/funboost,557,2,1470,2023-12-22 03:34:06,114
augur,https://github.com/chaoss/augur,549,116,10773,2023-12-19 11:09:42,839
flask-react-spa,https://github.com/briancappello/flask-react-spa,543,2,449,2023-12-20 03:25:57,108
sqlalchemy-continuum,https://github.com/kvesteri/sqlalchemy-continuum,539,41,760,2023-12-24 00:37:45,129
fireshare,https://github.com/ShaneIsrael/fireshare,524,12,547,2023-12-23 06:12:41,31
beibq,https://github.com/chaijunit/beibq,517,2,36,2023-12-11 06:18:05,164
asreview,https://github.com/asreview/asreview,512,42,1241,2023-12-22 00:28:42,110
FreeTakServer,https://github.com/FreeTAKTeam/FreeTakServer,511,30,1835,2023-12-21 05:04:05,145
potion,https://github.com/biosustain/potion,489,17,384,2023-11-14 16:27:26,54
maple-bbs,https://github.com/honmaple/maple-bbs,467,0,78,2023-12-21 02:24:37,171
Blogin,https://github.com/weijiang1994/Blogin,455,0,920,2023-12-23 03:04:06,114
clean-architecture,https://github.com/Enforcer/clean-architecture,450,4,313,2023-12-22 00:35:18,53
zwift-offline,https://github.com/zoffline/zwift-offline,450,17,1116,2023-12-24 16:14:55,91
OctBlog,https://github.com/flyhigher139/OctBlog,445,3,254,2023-11-07 12:40:44,154
vits-simple-api,https://github.com/Artrajz/vits-simple-api,441,7,390,2023-12-21 18:59:21,86
ail-framework,https://github.com/ail-project/ail-framework,437,48,2473,2023-12-22 09:50:53,75
bluelog,https://github.com/greyli/bluelog,436,4,32,2023-12-20 03:33:22,653
python-scripts,https://github.com/metafy-social/python-scripts,433,98,657,2023-12-23 23:48:06,218
cookiecutter-flask-skeleton,https://github.com/realpython/cookiecutter-flask-skeleton,430,10,185,2023-10-03 05:16:06,133
dalton,https://github.com/secureworks/dalton,412,7,504,2023-12-14 03:24:05,85
open_dnsdb,https://github.com/qunarcorp/open_dnsdb,407,4,35,2023-12-21 08:33:41,153
Chocolate,https://github.com/ChocolateApp/Chocolate,403,4,269,2023-12-21 15:31:37,13
freki,https://github.com/cristianzsh/freki,403,2,78,2023-12-24 10:32:54,56
nas-tools,https://github.com/receyuki/nas-tools,403,54,5608,2023-12-20 04:19:00,854
watchdog,https://github.com/flipkart-incubator/watchdog,400,3,91,2023-11-28 10:55:21,102
explore-flask-zh,https://github.com/spacewander/explore-flask-zh,396,10,88,2023-11-07 12:37:38,90
ojbk_jiexi,https://github.com/abbey2023/ojbk_jiexi,389,0,37,2023-12-07 14:57:48,256
Topaz,https://github.com/Naresh1318/Topaz,383,4,217,2023-12-20 03:42:56,52
gitrec,https://github.com/gorse-io/gitrec,377,8,217,2023-12-12 19:44:55,38
sms_serial_verification,https://github.com/jadijadi/sms_serial_verification,376,26,220,2023-12-10 23:28:24,67
newspipe,https://github.com/cedricbonhomme/newspipe,371,5,3185,2023-12-13 11:01:20,40
todolist,https://github.com/lalor/todolist,371,2,15,2023-12-20 14:58:14,157
rtkbase,https://github.com/Stefal/rtkbase,369,13,1619,2023-12-23 22:57:07,99
Project-Guidance,https://github.com/Kushal997-das/Project-Guidance,367,113,2409,2023-12-20 01:26:36,230
groceri.es,https://github.com/juriansluiman/groceri.es,365,5,93,2023-12-18 13:29:29,31
node-index,https://github.com/yanlele/node-index,348,0,3285,2023-12-21 15:36:33,56
crackerjack,https://github.com/ctxis/crackerjack,347,5,318,2023-12-18 16:08:12,88
Vajra,https://github.com/TROUBLE-1/Vajra,344,2,60,2023-12-24 09:00:06,58
airflow-code-editor,https://github.com/andreax79/airflow-code-editor,342,6,255,2023-12-23 18:46:43,49
baymax,https://github.com/no13bus/baymax,340,2,47,2023-11-26 08:41:48,50
FlaskSeries,https://github.com/jimdevops19/FlaskSeries,336,0,22,2023-12-19 11:53:10,268
Reseed-backend,https://github.com/tongyifan/Reseed-backend,331,4,46,2023-12-21 11:02:33,44
flask-black-dashboard,https://github.com/app-generator/flask-black-dashboard,330,2,243,2023-12-11 03:41:35,140
distributed_framework,https://github.com/ydf0509/distributed_framework,324,0,933,2023-11-22 08:39:22,89
hashview,https://github.com/hashview/hashview,323,8,320,2023-12-11 06:17:15,38
Awesome_Python_Scripts,https://github.com/prathimacode-hub/Awesome_Python_Scripts,322,113,3789,2023-12-22 21:55:52,293
TcloudServer,https://github.com/JunManYuanLong/TcloudServer,319,8,136,2023-12-20 03:54:56,78
airflow-rest-api-plugin,https://github.com/teamclairvoyant/airflow-rest-api-plugin,319,7,134,2023-12-21 03:07:15,95
ok,https://github.com/okpy/ok,317,65,4491,2023-12-20 11:45:54,83
flask_spider,https://github.com/longzx-9527/flask_spider,305,0,28,2023-12-22 00:53:13,123
od-annotation,https://github.com/hzylmf/od-annotation,300,2,23,2023-11-20 11:06:58,88
python_crawler,https://github.com/cassieeric/python_crawler,298,0,1093,2023-12-22 14:25:53,307
OctoPrint-Telegram,https://github.com/fabianonline/OctoPrint-Telegram,296,25,433,2023-12-20 14:51:33,111
albumy,https://github.com/greyli/albumy,287,6,47,2023-12-15 13:38:53,343
flask-starter,https://github.com/ksh7/flask-starter,282,3,12,2023-12-20 04:03:12,46
music_led_strip_control,https://github.com/TobKra96/music_led_strip_control,282,5,559,2023-12-21 20:44:58,61
dash_on_flask,https://github.com/okomarov/dash_on_flask,281,3,31,2023-12-19 23:27:20,125
flask-project-template,https://github.com/xen/flask-project-template,281,3,42,2023-12-03 17:55:47,95
go-links,https://github.com/trotto/go-links,281,12,260,2023-12-03 21:53:18,58
wiki,https://github.com/alexanderjulo/wiki,281,11,184,2023-11-18 18:16:27,87
psiTurk,https://github.com/NYUCCL/psiTurk,277,46,1875,2023-12-20 03:05:29,141
Taisite-Platform,https://github.com/amazingTest/Taisite-Platform,275,4,277,2023-11-07 12:52:11,133
saasform,https://github.com/saasform/saasform,271,14,378,2023-12-05 02:29:35,34
clippinator,https://github.com/ennucore/clippinator,270,3,142,2023-12-20 04:21:00,27
flask_for_startups,https://github.com/nuvic/flask_for_startups,267,2,29,2023-12-23 20:13:30,23
flask-shop,https://github.com/hjlarry/flask-shop,262,6,659,2023-12-21 07:29:30,102
Book-Management-System,https://github.com/lyric777/Book-Management-System,261,0,22,2023-12-24 06:44:38,73
gapps,https://github.com/bmarsh9/gapps,258,2,166,2023-12-20 18:15:31,58
cedardeploy,https://github.com/liquanzhou/cedardeploy,257,0,78,2023-12-20 03:36:07,71
flask-adminlte,https://github.com/app-generator/flask-adminlte,256,0,125,2023-12-20 09:31:12,96
avred,https://github.com/dobin/avred,254,4,538,2023-12-24 07:21:11,32
saas-base,https://github.com/CaravelKit/saas-base,254,3,95,2023-12-21 16:23:57,43
WTF_Scan,https://github.com/dyboy2017/WTF_Scan,252,0,21,2023-12-24 06:54:19,69
prosodic,https://github.com/quadrismegistus/prosodic,251,9,329,2023-12-08 14:41:26,40
shopcube,https://github.com/Abdur-rahmaanJ/shopcube,249,20,221,2023-12-18 01:36:22,123
inasafe,https://github.com/inasafe/inasafe,247,48,16012,2023-12-19 17:35:59,136
flask-app-template,https://github.com/berlotto/flask-app-template,245,3,14,2023-12-21 12:57:29,123
FudgeC2,https://github.com/Ziconius/FudgeC2,242,2,193,2023-12-11 00:48:37,55
analyzer,https://github.com/qeeqbox/analyzer,241,3,629,2023-12-08 12:42:25,60
watchlist,https://github.com/helloflask/watchlist,239,3,23,2023-12-15 13:38:53,115
ChatGPT-PromptGenius,https://github.com/wenhaomin/ChatGPT-PromptGenius,238,3,155,2023-12-20 13:08:27,45
dash-flask-login,https://github.com/RafaelMiquelino/dash-flask-login,235,2,17,2023-12-22 10:06:48,81
flask-kit,https://github.com/semirook/flask-kit,233,4,59,2023-11-26 08:50:36,32
algorithms,https://github.com/MartinThoma/algorithms,231,2,584,2023-11-04 09:14:13,153
Mloger,https://github.com/momosecurity/Mloger,229,3,11,2023-12-20 04:08:57,64
chirp,https://github.com/9b/chirp,229,2,34,2023-12-20 03:32:01,22
flask-rbac,https://github.com/shonenada/flask-rbac,229,8,123,2023-12-24 06:38:03,61
sqladvisor-web,https://github.com/zyw/sqladvisor-web,229,2,49,2023-11-19 16:08:07,84
