repo_name,repo_url,stars,contributors,commits,update_date,forks,jsonb_agg
OpenPLC_v3,https://github.com/thiagoralves/OpenPLC_v3,870,20,294,2023-12-22 18:21:08,379,"[{""C"": 612806, ""C#"": 304571, ""M4"": 17677, ""C++"": 10045287, ""CSS"": 12533, ""TeX"": 1961, ""HTML"": 17624, ""Java"": 325170, ""LLVM"": 82771, ""Perl"": 36460, ""XSLT"": 76405, ""Yacc"": 375960, ""CMake"": 13328, ""Scala"": 174704, ""Shell"": 457003, ""Python"": 275325, ""Makefile"": 48565, ""Batchfile"": 1381, ""Smalltalk"": 287, ""Dockerfile"": 979, ""JavaScript"": 418863}]"
specter-desktop,https://github.com/cryptoadvance/specter-desktop,763,96,1976,2023-12-23 14:57:09,240,"[{""CSS"": 73677, ""Nix"": 549, ""HTML"": 283706, ""Jinja"": 632500, ""Shell"": 59757, ""Python"": 1813795, ""Batchfile"": 2120, ""Dockerfile"": 16821, ""JavaScript"": 1121090}]"
docassemble,https://github.com/jhpyle/docassemble,699,30,4104,2023-12-23 06:43:53,242,"[{""C++"": 156, ""CSS"": 90091, ""TeX"": 15582, ""HTML"": 182522, ""Mako"": 1042, ""Shell"": 156382, ""Python"": 4632473, ""Gherkin"": 541846, ""Dockerfile"": 7705, ""Emacs Lisp"": 3393, ""JavaScript"": 1879265, ""Rich Text Format"": 120028}]"
feedi,https://github.com/facundoolano/feedi,622,3,408,2023-12-23 17:37:10,15,"[{""CSS"": 7825, ""HTML"": 53194, ""Mako"": 635, ""Shell"": 3161, ""Python"": 170298, ""Makefile"": 3427, ""Dockerfile"": 195, ""JavaScript"": 1164}]"
lookyloo,https://github.com/Lookyloo/lookyloo,607,13,2062,2023-12-20 03:24:56,74,"[{""CSS"": 5918, ""HTML"": 146736, ""Shell"": 145, ""Python"": 432759, ""Dockerfile"": 945, ""JavaScript"": 40034}]"
Dryvo,https://github.com/AdamGold/Dryvo,597,0,431,2023-12-20 03:59:31,128,"[{""CSS"": 345, ""HTML"": 7443, ""Mako"": 494, ""Python"": 265067}]"
flask-security,https://github.com/Flask-Middleware/flask-security,572,145,1354,2023-12-20 03:14:36,143,"[{""HTML"": 44640, ""Python"": 1037649, ""JavaScript"": 10675}]"
gae-init,https://github.com/gae-init/gae-init,536,21,3045,2023-12-20 03:06:14,131,"[{""HTML"": 65690, ""Less"": 5182, ""Shell"": 1192, ""Python"": 108183, ""JavaScript"": 20197}]"
dd-trace-py,https://github.com/DataDog/dd-trace-py,456,227,6463,2023-12-22 02:32:18,426,"[{""C"": 101064, ""C++"": 920924, ""HTML"": 3130, ""CMake"": 86795, ""Jinja"": 9, ""Shell"": 49387, ""Cython"": 125481, ""Python"": 7855303, ""Smarty"": 644, ""Dockerfile"": 7736, ""JavaScript"": 488}]"
hackergame2021-writeups,https://github.com/USTC-Hackergame/hackergame2021-writeups,447,56,165,2023-12-16 14:06:40,79,"[{""C"": 1897565, ""C++"": 16292, ""CSS"": 5436, ""PHP"": 6520, ""Dart"": 15629, ""GLSL"": 35486, ""HTML"": 59609, ""Java"": 31312, ""Roff"": 8945, ""Yacc"": 8516, ""Logos"": 1825, ""QMake"": 621, ""Shell"": 28380, ""Python"": 214732, ""Haskell"": 39420, ""Verilog"": 150221, ""Assembly"": 60294, ""Makefile"": 8290, ""Solidity"": 1264, ""Dockerfile"": 1851, ""JavaScript"": 3935320, ""TypeScript"": 27135, ""Mathematica"": 9142, ""Jupyter Notebook"": 388157}]"
