repo_name,repo_url,stars,contributors,commits,update_date,forks,jsonb_agg
frasco,https://github.com/digicoop/frasco,13,2,244,2022-09-21 12:06:15,1,"[{""HTML"": 40395, ""Python"": 329688, ""JavaScript"": 7174}]"
pro-guide,https://github.com/Darrenzzy/pro-guide,13,0,178,2023-05-08 18:35:52,6,"[{""PHP"": 31841, ""Shell"": 37534, ""Python"": 1359151, ""Makefile"": 1410}]"
stared-repos,https://github.com/academic-resources/stared-repos,13,2,529,2023-10-28 09:22:21,11,[{}]
Haldis,https://github.com/ZeusWPI/Haldis,12,32,724,2023-04-21 07:34:26,15,"[{""CSS"": 21505, ""HTML"": 43005, ""Mako"": 412, ""SCSS"": 20745, ""Shell"": 2011, ""Python"": 88065, ""Makefile"": 530, ""Dockerfile"": 580, ""Emacs Lisp"": 2623, ""JavaScript"": 7873, ""Vim Script"": 2282}]"
MyLists,https://github.com/Crossoufire/MyLists,12,2,925,2023-11-07 21:17:52,4,"[{""CSS"": 2985, ""HTML"": 85608, ""Mako"": 494, ""Shell"": 33, ""Python"": 314098, ""JavaScript"": 391697}]"
OctoBot-Services,https://github.com/Drakkar-Software/OctoBot-Services,12,5,251,2023-10-27 08:32:36,22,"[{""Cython"": 717, ""Python"": 162633, ""Makefile"": 1077}]"
PyART,https://github.com/PYART0/PyART,12,0,12,2023-12-13 10:22:46,6,"[{""Perl"": 1836, ""Shell"": 88, ""Python"": 272608}]"
Things-Organizer,https://github.com/yeyeto2788/Things-Organizer,12,2,129,2023-10-01 07:04:43,1,"[{""CSS"": 6833, ""HTML"": 55245, ""Mako"": 494, ""SCSS"": 7910, ""Python"": 85824, ""Dockerfile"": 827, ""JavaScript"": 4545}]"
license-key-manager,https://github.com/BUILT-CoLAB/license-key-manager,12,6,215,2023-12-19 23:01:52,3,"[{""C#"": 11196, ""CSS"": 115, ""HTML"": 183021, ""Shell"": 123, ""Python"": 127997, ""Dockerfile"": 1054, ""JavaScript"": 2644}]"
ramp-board,https://github.com/paris-saclay-cds/ramp-board,12,17,1503,2023-12-20 03:19:38,17,"[{""CSS"": 68859, ""HTML"": 127428, ""Shell"": 5580, ""Python"": 785868, ""Makefile"": 1443, ""Batchfile"": 1127, ""JavaScript"": 947921}]"
stemmaweb,https://github.com/tla/stemmaweb,12,11,1176,2023-12-15 16:50:43,9,"[{""CSS"": 4539, ""HTML"": 10766, ""Shell"": 15991, ""Python"": 114096, ""Makefile"": 5435, ""Dockerfile"": 2550, ""JavaScript"": 188605, ""TypeScript"": 6021}]"
DeepStreaks,https://github.com/dmitryduev/DeepStreaks,11,3,486,2023-08-03 16:40:49,2,"[{""CSS"": 187097, ""HTML"": 49206, ""Python"": 355541, ""Dockerfile"": 6921, ""JavaScript"": 2098060}]"
QSNMP,https://github.com/mertcangokgoz/QSNMP,11,2,15,2023-09-28 10:38:40,2,"[{""HTML"": 23625, ""Python"": 7009}]"
flask-sketch,https://github.com/ericsouza/flask-sketch,11,0,63,2021-05-29 17:12:47,2,"[{""Python"": 62681, ""Makefile"": 751}]"
fundonebot,https://github.com/wthueb/fundonebot,11,2,72,2023-10-02 20:51:36,8,"[{""HTML"": 4594, ""Python"": 99523}]"
mediatum,https://github.com/mediatum/mediatum,11,9,2837,2023-02-16 15:28:36,7,"[{""CSS"": 297732, ""Nix"": 16700, ""HTML"": 694750, ""Mako"": 494, ""TSQL"": 3236, ""Shell"": 639, ""Python"": 2602992, ""PLpgSQL"": 77904, ""JavaScript"": 1489572}]"
sner4,https://github.com/bodik/sner4,11,2,1176,2023-10-21 20:05:02,5,"[{""CSS"": 14679, ""HTML"": 144539, ""Mako"": 494, ""SCSS"": 16, ""Shell"": 5031, ""Python"": 660287, ""Makefile"": 1330, ""JavaScript"": 81678}]"
user_management,https://github.com/hriks/user_management,11,2,86,2023-08-19 08:04:34,2,"[{""CSS"": 4104, ""HTML"": 24416, ""Python"": 20860, ""Procfile"": 35, ""JavaScript"": 969}]"
Physician-Request-Web-App,https://github.com/ondiekelijah/Physician-Request-Web-App,10,0,19,2022-09-15 17:40:42,1,"[{""CSS"": 26594, ""HTML"": 28709, ""Mako"": 494, ""Python"": 38099, ""JavaScript"": 469}]"
frame-difference-loss,https://github.com/AtlantixJJ/frame-difference-loss,10,0,19,2023-07-31 08:45:21,1,"[{""CSS"": 62414, ""HTML"": 25008, ""Python"": 150589, ""JavaScript"": 14817}]"
pum13-2023,https://github.com/PUM13-2023/pum13-2023,10,9,463,2023-04-26 11:42:58,1,"[{""CSS"": 29908, ""Python"": 134108, ""Dockerfile"": 607, ""JavaScript"": 327}]"
vdm,https://github.com/samstarnes/vdm,10,0,111,2023-12-13 01:19:03,0,"[{""CSS"": 1629, ""HTML"": 26319, ""Python"": 50912, ""Dockerfile"": 781}]"
CollabPentestFramework,https://github.com/w8mej/CollabPentestFramework,9,40,12152,2023-05-25 06:34:04,6,"[{""Nix"": 21610, ""HTML"": 8043, ""Mako"": 494, ""Jinja"": 1392, ""Shell"": 4746, ""Python"": 1605016, ""Dockerfile"": 779, ""JavaScript"": 16800}]"
Parkie,https://github.com/No3Mc/Parkie,9,4,1134,2023-11-28 22:57:02,1,"[{""CSS"": 74538, ""HTML"": 91364, ""Python"": 48003, ""Batchfile"": 931, ""JavaScript"": 53434}]"
bot_delo_zhivet,https://github.com/Studio-Yandex-Practicum/bot_delo_zhivet,9,28,864,2023-07-12 09:27:20,11,"[{""HTML"": 64804, ""Mako"": 510, ""Shell"": 4479, ""Python"": 183044}]"
hazebot,https://github.com/airq-dev/hazebot,9,4,323,2022-10-02 02:36:01,1,"[{""HTML"": 9568, ""Mako"": 494, ""Shell"": 3191, ""Python"": 245275, ""Dockerfile"": 785}]"
prismo,https://github.com/hacklabkyiv/prismo,9,4,104,2023-12-22 09:22:11,0,"[{""CSS"": 1838, ""HTML"": 20250, ""Shell"": 77, ""Python"": 41694, ""Dockerfile"": 549, ""JavaScript"": 8032}]"
quart-flask-patch,https://github.com/pgjones/quart-flask-patch,9,0,12,2023-10-23 16:14:40,0,"[{""Python"": 18436}]"
shipit,https://github.com/mozilla-releng/shipit,9,29,709,2023-09-16 11:43:27,25,"[{""HTML"": 1635, ""Shell"": 5730, ""Python"": 239258, ""Dockerfile"": 6387, ""JavaScript"": 120301}]"
zesje,https://github.com/zesje/zesje,9,29,3883,2022-10-31 20:31:18,1,"[{""CSS"": 2263, ""HTML"": 248, ""Mako"": 957, ""SCSS"": 7373, ""Python"": 456069, ""Dockerfile"": 2408, ""JavaScript"": 259011}]"
OctoPuppet,https://github.com/UTA-FabLab/OctoPuppet,8,174,7529,2021-03-31 06:57:45,2,"[{""CSS"": 125636, ""HTML"": 267769, ""Shell"": 3726, ""G-code"": 1651045, ""Python"": 1434027, ""JavaScript"": 1599450}]"
TigerDataCoding,https://github.com/paigerodeghero/TigerDataCoding,8,13,107,2022-05-03 19:24:48,7,"[{""CSS"": 1651, ""VBA"": 386671, ""HTML"": 1722, ""Python"": 12491, ""Dockerfile"": 216, ""JavaScript"": 294, ""TypeScript"": 25189}]"
coffeebuddy,https://github.com/hackenbergstefan/coffeebuddy,8,2,189,2023-06-30 10:34:34,3,"[{""CSS"": 2291, ""HTML"": 64096, ""Shell"": 4565, ""Python"": 72246, ""JavaScript"": 4689}]"
octane,https://github.com/techfreaque/octane,8,2,132,2023-11-24 22:25:54,7,"[{""C"": 938, ""CSS"": 12933, ""HTML"": 330872, ""Roff"": 3350, ""Shell"": 6394, ""Cython"": 10035, ""Python"": 8578689, ""Makefile"": 7071, ""Batchfile"": 799, ""Dockerfile"": 3735, ""JavaScript"": 269324, ""PowerShell"": 7884}]"
opac,https://github.com/scieloorg/opac,8,19,1937,2023-08-23 18:14:53,22,"[{""CSS"": 28018, ""HTML"": 256308, ""Less"": 142342, ""Mako"": 412, ""Shell"": 567, ""Python"": 909070, ""Makefile"": 7235, ""Dockerfile"": 1669, ""JavaScript"": 846138}]"
p2k16,https://github.com/bitraf/p2k16,8,14,481,2022-12-15 14:34:51,10,"[{""CSS"": 3839, ""HTML"": 52139, ""Shell"": 5472, ""Python"": 149300, ""Dockerfile"": 1644, ""JavaScript"": 50006}]"
ApiLogicServer-src,https://github.com/ApiLogicServer/ApiLogicServer-src,7,2,566,2023-11-26 10:57:16,0,"[{""HTML"": 3255096, ""Mako"": 494, ""TSQL"": 1379537, ""PLSQL"": 1140049, ""Shell"": 55173, ""Python"": 1287157, ""Gherkin"": 18117, ""PLpgSQL"": 316610, ""Dockerfile"": 30113, ""JavaScript"": 54521, ""PowerShell"": 6079}]"
VSOURCE_FACE_PLATFORM,https://github.com/VSOURCE-Platform/VSOURCE_FACE_PLATFORM,7,2,125,2021-11-09 11:52:11,0,"[{""CSS"": 2469, ""HTML"": 51286, ""Shell"": 592, ""Python"": 155682, ""JavaScript"": 26847}]"
akvo-tech-consultancy,https://github.com/akvo/akvo-tech-consultancy,7,18,1987,2023-11-22 06:54:53,2,"[{""CSS"": 322743, ""PHP"": 3479377, ""Vue"": 1695, ""HTML"": 263216, ""Hack"": 116238, ""Mako"": 494, ""SCSS"": 51337, ""Blade"": 557907, ""Shell"": 81011, ""Python"": 340013, ""Svelte"": 3496, ""Dockerfile"": 6418, ""JavaScript"": 10658137, ""Jupyter Notebook"": 6616168}]"
dds_web,https://github.com/ScilifelabDataCentre/dds_web,7,13,5794,2023-10-10 07:47:28,7,"[{""HTML"": 80589, ""Mako"": 494, ""SCSS"": 6985, ""Python"": 1174500, ""Dockerfile"": 2695, ""JavaScript"": 2947}]"
padwoman,https://github.com/HackHerz/padwoman,7,2,108,2022-02-10 17:04:10,4,"[{""HTML"": 11416, ""Python"": 35129, ""Dockerfile"": 404, ""JavaScript"": 6324}]"
weave,https://github.com/razzius/weave,7,5,945,2023-08-18 16:30:08,2,"[{""CSS"": 6897, ""HTML"": 521, ""Shell"": 1182, ""Python"": 121438, ""Makefile"": 233, ""Dockerfile"": 1485, ""JavaScript"": 163408}]"
Code9ja,https://github.com/BrightDaniel/Code9ja,6,0,28,2023-10-02 23:27:06,5,"[{""C"": 197077, ""C++"": 253020, ""CSS"": 562078, ""HTML"": 227975, ""Mako"": 19590, ""SCSS"": 352201, ""Cython"": 21960, ""Python"": 24405990, ""Assembly"": 3086, ""Procfile"": 22, ""Batchfile"": 1515, ""JavaScript"": 269386, ""PowerShell"": 25697}]"
emhub,https://github.com/3dem/emhub,6,3,792,2023-10-20 14:07:59,2,"[{""CSS"": 127417, ""HTML"": 452410, ""Mako"": 516, ""Python"": 414163, ""Procfile"": 135, ""Dockerfile"": 305, ""JavaScript"": 65201}]"
fuzzbucket,https://github.com/rstudio/fuzzbucket,6,4,453,2023-10-17 01:41:57,2,"[{""HTML"": 710, ""Just"": 490, ""Shell"": 391, ""Python"": 216788}]"
infilcheck,https://github.com/jonnykry/infilcheck,6,3,317,2023-08-31 17:05:34,3,"[{""CSS"": 1164, ""HTML"": 12132, ""Python"": 30260, ""Procfile"": 45, ""JavaScript"": 781}]"
superset-patchup,https://github.com/onaio/superset-patchup,6,10,134,2023-11-01 14:58:43,7,"[{""Python"": 51040}]"
2018-PyDash.io,https://github.com/RUGSoftEng/2018-PyDash.io,5,10,1387,2020-09-05 13:09:05,2,"[{""CSS"": 1688, ""TeX"": 20914, ""HTML"": 22667, ""Shell"": 4115, ""Python"": 240602, ""Gherkin"": 1799, ""Makefile"": 718, ""Batchfile"": 939, ""JavaScript"": 126233}]"
FlaskRepository,https://github.com/greatabel/FlaskRepository,5,2,246,2023-08-09 03:36:49,0,"[{""CSS"": 2516, ""HTML"": 103746, ""Mako"": 4940, ""Shell"": 121, ""Python"": 337263, ""JavaScript"": 1123}]"
PyOpenBBSMiddleware,https://github.com/Ptt-official-app/PyOpenBBSMiddleware,5,2,40,2020-12-15 23:52:03,2,"[{""HTML"": 1400, ""Shell"": 5860, ""Python"": 99619, ""Dockerfile"": 336}]"
SME-PratoAberto-Editor,https://github.com/prefeiturasp/SME-PratoAberto-Editor,5,10,321,2022-01-26 19:30:53,6,"[{""CSS"": 11218, ""HTML"": 500815, ""Python"": 175160, ""Dockerfile"": 363, ""JavaScript"": 11836}]"
SaaS-in-a-Flask,https://github.com/navanchauhan/SaaS-in-a-Flask,5,3,157,2023-07-04 22:30:37,0,"[{""CSS"": 60, ""HTML"": 15441, ""Mako"": 494, ""Python"": 26906, ""Makefile"": 1116, ""Procfile"": 183, ""Dockerfile"": 1183}]"
Trombi,https://github.com/Mogmi95/Trombi,5,2,257,2020-09-15 14:41:55,1,"[{""CSS"": 73057, ""PHP"": 2232, ""HTML"": 269039, ""Mako"": 494, ""Python"": 64470, ""JavaScript"": 368209}]"
admin-gsc,https://github.com/bujnlc8/admin-gsc,5,0,29,2023-11-03 15:40:43,6,"[{""HTML"": 1424, ""Shell"": 627, ""Python"": 63050, ""Procfile"": 19, ""Dockerfile"": 462}]"
anki-language-tools,https://github.com/Language-Tools/anki-language-tools,5,0,607,2023-08-20 14:53:53,0,"[{""Shell"": 1675, ""Python"": 323429, ""Svelte"": 3853, ""JavaScript"": 1819, ""TypeScript"": 514}]"
ao3-web-reader,https://github.com/zNitche/ao3-web-reader,5,0,96,2023-12-20 21:16:18,0,"[{""CSS"": 5145, ""HTML"": 26966, ""Shell"": 66, ""Python"": 84345, ""Dockerfile"": 509, ""JavaScript"": 4455}]"
atlanticwave-proto,https://github.com/atlanticwave-sdx/atlanticwave-proto,5,8,949,2023-07-24 07:17:36,6,"[{""CSS"": 13318, ""HTML"": 95776, ""Shell"": 88389, ""Python"": 1014565, ""Dockerfile"": 3053, ""JavaScript"": 4400}]"
binder_gallery,https://github.com/gesiscss/binder_gallery,5,3,216,2023-02-16 16:13:25,1,"[{""CSS"": 8479, ""HTML"": 21501, ""Mako"": 494, ""Python"": 67531, ""Dockerfile"": 1035, ""JavaScript"": 3267}]"
estimagus,https://github.com/matejak/estimagus,5,0,290,2023-06-21 09:15:52,0,"[{""CSS"": 236, ""HTML"": 19841, ""Jinja"": 7283, ""Python"": 347605, ""Dockerfile"": 495}]"
flask-paseto-extended,https://github.com/dajiaji/flask-paseto-extended,5,3,321,2023-12-06 01:54:12,0,"[{""Python"": 67683}]"
flasquelistan,https://github.com/teknologkoren/flasquelistan,5,5,475,2022-11-02 23:24:33,3,"[{""CSS"": 13327, ""HTML"": 78261, ""Jinja"": 1135, ""Shell"": 154, ""Python"": 200360, ""JavaScript"": 11472}]"
invenio-accounts,https://github.com/inveniosoftware/invenio-accounts,5,63,1280,2022-11-16 15:24:21,65,"[{""HTML"": 32520, ""Shell"": 1556, ""Python"": 261293}]"
neurohealth.care,https://github.com/denisafanasev/neurohealth.care,5,3,732,2023-08-24 07:18:08,0,"[{""CSS"": 96331, ""HTML"": 296081, ""Roff"": 1052230, ""Shell"": 4849, ""Python"": 468676, ""JavaScript"": 493561}]"
notasi,https://github.com/tullyclark/notasi,5,3,293,2023-10-05 00:23:34,2,"[{""CSS"": 12622, ""HTML"": 44959, ""Shell"": 3789, ""Python"": 78942, ""JavaScript"": 453710}]"
pcra,https://github.com/JennaSys/pcra,5,0,68,2023-05-30 03:34:36,2,"[{""CSS"": 1189, ""HTML"": 1134, ""Python"": 48799, ""JavaScript"": 598}]"
pia-lara,https://github.com/PIALARA/pia-lara,5,15,251,2023-01-31 21:01:22,10,"[{""CSS"": 1007, ""HTML"": 59923, ""SCSS"": 8288, ""Python"": 122274, ""JavaScript"": 11363}]"
postmodern-paste,https://github.com/postmodern-paste/postmodern-paste,5,7,256,2022-10-25 01:10:30,0,"[{""HTML"": 59555, ""Ruby"": 351, ""SCSS"": 20594, ""Python"": 228940, ""Makefile"": 1184, ""JavaScript"": 93555}]"
prompt-linter,https://github.com/pisterlabs/prompt-linter,5,4,126,2023-12-23 08:17:20,4,"[{""Shell"": 585, ""Python"": 15528349, ""Smarty"": 1999, ""Jupyter Notebook"": 11208515}]"
reana-server,https://github.com/reanahub/reana-server,5,16,598,2022-11-22 16:43:10,30,"[{""Shell"": 4200, ""Python"": 470463, ""Dockerfile"": 3469}]"
repocribro,https://github.com/MarekSuchanek/repocribro,5,0,241,2021-01-13 11:19:01,2,"[{""CSS"": 1996, ""HTML"": 57114, ""Mako"": 494, ""Python"": 223534, ""Dockerfile"": 378, ""JavaScript"": 1}]"
sedmpy,https://github.com/scizen9/sedmpy,5,5,1700,2022-02-16 22:57:00,4,"[{""CSS"": 2734, ""HTML"": 37726, ""Shell"": 2873, ""Python"": 1359581, ""JavaScript"": 1000}]"
utils,https://github.com/Ctrlsman/utils,5,2,28,2020-03-13 03:32:56,0,"[{""Python"": 15519}]"
