repo_name,repo_url,stars,contributors,commits,update_date,forks
threaddit,https://github.com/StarKhan6368/threaddit,11,0,53,2023-12-20 05:47:15,0
Nope-Yelp,https://github.com/Samsuhhh/Nope-Yelp,7,4,565,2022-11-06 19:45:21,1
eNMS,https://github.com/eNMS-automation/eNMS,785,21,15424,2023-12-19 20:15:50,152
cep,https://github.com/cortictechnology/cep,158,3,149,2023-12-20 04:04:57,22
analyzer,https://github.com/qeeqbox/analyzer,241,3,629,2023-12-08 12:42:25,60
MyLists,https://github.com/Crossoufire/MyLists,12,2,925,2023-11-07 21:17:52,4
GT-Covid19-Atendimento,https://github.com/CarlosEduAC/GT-Covid19-Atendimento,5,8,326,2022-10-14 15:00:45,6
Marauders-Website,https://github.com/Marauders-9998/Marauders-Website,5,6,113,2023-12-05 15:45:08,16
morsechat,https://github.com/robalb/morsechat,57,3,588,2023-11-12 21:58:16,5
Mycodo,https://github.com/kizniche/Mycodo,2737,49,6720,2023-12-23 13:33:39,459
ikoa-web,https://github.com/mason1901/ikoa-web,59,0,25,2023-09-26 05:44:08,54
yublog,https://github.com/yokonsan/yublog,168,3,290,2023-11-07 12:47:06,54
FashionShopApp,https://github.com/caongochoangvan/FashionShopApp,35,2,39,2023-10-13 22:33:34,17
analysispreservation.cern.ch,https://github.com/cernanalysispreservation/analysispreservation.cern.ch,42,23,2126,2023-05-11 07:41:51,29
telegrambot,https://github.com/andreipradan/telegrambot,7,0,109,2023-11-12 16:31:33,0
stager,https://github.com/ccmbioinfo/stager,6,13,781,2022-11-28 17:23:09,0
monkey,https://github.com/guardicore/monkey,6394,50,18844,2023-12-22 16:11:49,775
natlas,https://github.com/natlas/natlas,596,14,1021,2023-12-13 18:44:49,87
FISCO-BCOS-Toolbox,https://github.com/SUIBE-Blockchain/FISCO-BCOS-Toolbox,35,7,208,2022-11-10 22:41:37,11
foxintheforest,https://github.com/Oripy/foxintheforest,5,2,133,2023-04-13 20:21:25,4
alarmdecoder-webapp,https://github.com/nutechsoftware/alarmdecoder-webapp,48,16,951,2023-11-20 04:41:15,45
PDScan,https://github.com/Bronya-Rayi/PDScan,52,0,19,2023-11-13 08:15:14,7
peach-blog,https://github.com/LeetaoGoooo/peach-blog,58,3,121,2023-11-15 09:09:32,9
access-control-web,https://github.com/leosac/access-control-web,8,4,638,2023-06-15 06:46:24,2
Hafta,https://github.com/highoncarbs/Hafta,87,2,148,2023-12-18 10:43:31,31
bunkerweb,https://github.com/bunkerity/bunkerweb,3222,21,3402,2023-12-24 02:07:21,210
Google_ML_Camp,https://github.com/Ryan0v0/Google_ML_Camp,8,3,27,2023-07-21 14:39:01,3
dofuslab,https://github.com/dofuslab/dofuslab,62,13,948,2023-11-21 21:18:06,23
conbench,https://github.com/conbench/conbench,95,19,902,2023-12-20 04:00:34,20
